"OPE ID",School,State,"Zip Code","School Type",Recipients,"num originated","amt originated","num disbursed","amt disbursed"
136500,"COLORADO STATE UNIVERSITY-PUEBLO                                      ",CO,810014901,Public,1510,1553,6267695,1553,3134909
136800,"TRINIDAD STATE JUNIOR COLLEGE                                         ",CO,810822396,Public,61,61,242739,61,119421
137000,"UNIVERSITY OF COLORADO BOULDER                                        ",CO,803090077,Public,5238,5321,21903334,5321,11211248
137100,"UNIVERSITY OF DENVER                                                  ",CO,802082000,Private-Nonprofit,1449,1468,6190816,1468,2089339
137200,"WESTERN STATE COLORADO UNIVERSITY                                     ",CO,812310000,Public,682,686,2729973,686,1373544
137400,"ALBERTUS MAGNUS COLLEGE                                               ",CT,65111189,Private-Nonprofit,836,851,3548832,851,1431315
137800,"CENTRAL CONNECTICUT STATE UNIVERSITY                                  ",CT,60502490,Public,3962,4010,17647279,4010,8905724
137900,"CONNECTICUT COLLEGE                                                   ",CT,63204196,Private-Nonprofit,585,585,2556793,590,1276283
138000,"WESTERN CONNECTICUT STATE UNIVERSITY                                  ",CT,68106826,Public,2261,2261,9836026,2268,5025024
138500,"FAIRFIELD UNIVERSITY                                                  ",CT,68245171,Private-Nonprofit,1192,1192,5369748,1192,2670607
138900,"HOLY APOSTLES COLLEGE & SEMINARY                                      ",CT,64162027,Private-Nonprofit,2,2,11000,2,5500
139300,"MITCHELL COLLEGE                                                      ",CT,63204498,Private-Nonprofit,313,314,1345676,314,678461
139700,"UNIVERSITY OF NEW HAVEN                                               ",CT,65161999,Private-Nonprofit,2397,2413,10726835,2413,5451073
139800,"NORTHWESTERN CONNECTICUT COMMUNITY COLLEGE                            ",CT,60981747,Public,19,19,56786,19,18319
140100,"POST UNIVERSITY                                                       ",CT,67233240,Proprietary,1247,1247,4965822,1248,2528651
140200,"QUINNIPIAC UNIVERSITY                                                 ",CT,65181908,Private-Nonprofit,2696,2720,12400982,2720,6186970
140300,"SACRED HEART UNIVERSITY                                               ",CT,68251000,Private-Nonprofit,2222,2238,9812114,2238,4884826
140600,"SOUTHERN CONNECTICUT STATE UNIVERSITY                                 ",CT,65151355,Public,4031,4050,17386759,4050,8730938
